age_class,Total,var,date
"[-Inf, 18)",619,case_cumul,2020-03-30
"[18, 45)",14233,case_cumul,2020-03-30
"[45, 65)",11577,case_cumul,2020-03-30
"[65, 75)",3954,case_cumul,2020-03-30
"[75, Inf)",3020,case_cumul,2020-03-30
"[-Inf, 18)",714,case_cumul,2020-03-31
"[18, 45)",16028,case_cumul,2020-03-31
"[45, 65)",13344,case_cumul,2020-03-31
"[65, 75)",4496,case_cumul,2020-03-31
"[75, Inf)",3410,case_cumul,2020-03-31
"[-Inf, 18)",757,case_cumul,2020-04-01
"[18, 45)",17347,case_cumul,2020-04-01
"[45, 65)",14689,case_cumul,2020-04-01
"[65, 75)",5015,case_cumul,2020-04-01
"[75, Inf)",3866,case_cumul,2020-04-01
"[-Inf, 18)",816,case_cumul,2020-04-02
"[18, 45)",18767,case_cumul,2020-04-02
"[45, 65)",16104,case_cumul,2020-04-02
"[65, 75)",5584,case_cumul,2020-04-02
"[75, Inf)",4328,case_cumul,2020-04-02
"[-Inf, 18)",881,case_cumul,2020-04-03
"[18, 45)",20313,case_cumul,2020-04-03
"[45, 65)",17497,case_cumul,2020-04-03
"[65, 75)",6095,case_cumul,2020-04-03
"[75, Inf)",4811,case_cumul,2020-04-03
"[-Inf, 18)",988,case_cumul,2020-04-04
"[18, 45)",22434,case_cumul,2020-04-04
"[45, 65)",19971,case_cumul,2020-04-04
"[65, 75)",7064,case_cumul,2020-04-04
"[75, Inf)",5709,case_cumul,2020-04-04
"[-Inf, 18)",1077,case_cumul,2020-04-05
"[18, 45)",23952,case_cumul,2020-04-05
"[45, 65)",21644,case_cumul,2020-04-05
"[65, 75)",7716,case_cumul,2020-04-05
"[75, Inf)",6337,case_cumul,2020-04-05
"[-Inf, 18)",1135,case_cumul,2020-04-06
"[18, 45)",25383,case_cumul,2020-04-06
"[45, 65)",23135,case_cumul,2020-04-06
"[65, 75)",8260,case_cumul,2020-04-06
"[75, Inf)",6905,case_cumul,2020-04-06
"[-Inf, 18)",1204,case_cumul,2020-04-07
"[18, 45)",26716,case_cumul,2020-04-07
"[45, 65)",24627,case_cumul,2020-04-07
"[65, 75)",8749,case_cumul,2020-04-07
"[75, Inf)",7345,case_cumul,2020-04-07
"[-Inf, 18)",1374,case_cumul,2020-04-08
"[18, 45)",28830,case_cumul,2020-04-08
"[45, 65)",26755,case_cumul,2020-04-08
"[65, 75)",9472,case_cumul,2020-04-08
"[75, Inf)",8007,case_cumul,2020-04-08
"[-Inf, 18)",1523,case_cumul,2020-04-09
"[18, 45)",30877,case_cumul,2020-04-09
"[45, 65)",28700,case_cumul,2020-04-09
"[65, 75)",10219,case_cumul,2020-04-09
"[75, Inf)",8713,case_cumul,2020-04-09
"[-Inf, 18)",1726,case_cumul,2020-04-10
"[18, 45)",33906,case_cumul,2020-04-10
"[45, 65)",31472,case_cumul,2020-04-10
