age_class,Total,var,date
18-44,59684,case_cumul,2020-04-30
45-64,59715,case_cumul,2020-04-30
65-74,20273,case_cumul,2020-04-30
75+,18506,case_cumul,2020-04-30
0-17,3782,case_cumul,2020-05-01
18-44,60483,case_cumul,2020-05-01
45-64,60552,case_cumul,2020-05-01
65-74,20537,case_cumul,2020-05-01
75+,18821,case_cumul,2020-05-01
0-17,3897,case_cumul,2020-05-02
18-44,61376,case_cumul,2020-05-02
45-64,61424,case_cumul,2020-05-02
65-74,20813,case_cumul,2020-05-02
75+,19045,case_cumul,2020-05-02
0-17,4023,case_cumul,2020-05-03
18-44,62109,case_cumul,2020-05-03
45-64,62137,case_cumul,2020-05-03
65-74,21024,case_cumul,2020-05-03
75+,19221,case_cumul,2020-05-03
0-17,4088,case_cumul,2020-05-04
18-44,62718,case_cumul,2020-05-04
45-64,62700,case_cumul,2020-05-04
65-74,21245,case_cumul,2020-05-04
75+,19451,case_cumul,2020-05-04
0-17,4137,case_cumul,2020-05-05
18-44,63149,case_cumul,2020-05-05
45-64,63122,case_cumul,2020-05-05
65-74,21383,case_cumul,2020-05-05
75+,19598,case_cumul,2020-05-05
0-17,4188,case_cumul,2020-05-06
18-44,63726,case_cumul,2020-05-06
45-64,63670,case_cumul,2020-05-06
65-74,21590,case_cumul,2020-05-06
75+,19779,case_cumul,2020-05-06
0-17,4246,case_cumul,2020-05-07
18-44,64244,case_cumul,2020-05-07
45-64,64143,case_cumul,2020-05-07
65-74,21770,case_cumul,2020-05-07
75+,19971,case_cumul,2020-05-07
0-17,4310,case_cumul,2020-05-08
18-44,64707,case_cumul,2020-05-08
45-64,64595,case_cumul,2020-05-08
65-74,21959,case_cumul,2020-05-08
75+,20173,case_cumul,2020-05-08
0-17,4397,case_cumul,2020-05-09
18-44,65195,case_cumul,2020-05-09
45-64,65082,case_cumul,2020-05-09
65-74,22120,case_cumul,2020-05-09
75+,20337,case_cumul,2020-05-09
0-17,4459,case_cumul,2020-05-10
18-44,65645,case_cumul,2020-05-10
45-64,65546,case_cumul,2020-05-10
65-74,22260,case_cumul,2020-05-10
75+,20504,case_cumul,2020-05-10
0-17,4605,case_cumul,2020-05-11
18-44,67327,case_cumul,2020-05-11
45-64,67171,case_cumul,2020-05-11
65-74,22866,case_cumul,2020-05-11
75+,21280,case_cumul,2020-05-11
0-17,4645,case_cumul,2020-05-12
18-44,67562,case_cumul,2020-05-12
45-64,67364,case_cumul,2020-05-12
65-74,22937,case_cumul,2020-05-12
75+,21399,case_cumul,2020-05-12
0-17,4690,case_cumul,2020-05-13
18-44,67925,case_cumul,2020-05-13
45-64,67647,case_cumul,2020-05-13
65-74,23026,case_cumul,2020-05-13
75+,21509,case_cumul,2020-05-13
0-17,4761,case_cumul,2020-05-14
18-44,68340,case_cumul,2020-05-14
45-64,67982,case_cumul,2020-05-14
65-74,23167,case_cumul,2020-05-14
75+,21632,case_cumul,2020-05-14
0-17,4824,case_cumul,2020-05-15
18-44,68835,case_cumul,2020-05-15
45-64,68520,case_cumul,2020-05-15
65-74,23370,case_cumul,2020-05-15
75+,21887,case_cumul,2020-05-15
0-17,4884,case_cumul,2020-05-16
18-44,69127,case_cumul,2020-05-16
45-64,68911,case_cumul,2020-05-16
65-74,23542,case_cumul,2020-05-16
75+,22151,case_cumul,2020-05-16
0-17,4955,case_cumul,2020-05-17
18-44,69610,case_cumul,2020-05-17
45-64,69402,case_cumul,2020-05-17
65-74,23714,case_cumul,2020-05-17
75+,22307,case_cumul,2020-05-17
